alpha,pfail,budget_ref,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,final_pr_greedy_mean,final_pr_greedy_std,final_pr_greedy_p10,final_pr_greedy_p25,final_pr_greedy_p50,final_pr_greedy_p75,final_pr_greedy_p90,solved_frac_greedy,final_pr_risk_mean,final_pr_risk_std,final_pr_risk_p10,final_pr_risk_p25,final_pr_risk_p50,final_pr_risk_p75,final_pr_risk_p90,solved_frac_risk,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree
0.08,0.12,1,0.9,0.042,0.058,0.0,0.22688266280606875,0.23075615133916047,0.10185604345857856,0.11560000000000002,0.140625,0.22145328719723184,0.37367614753150663,0.07,0.13213518106902053,0.1950102666181584,0.023209876543209877,0.04168729195362718,0.07573784722222221,0.13781163434903046,0.2369630966682564,0.042,0.22668637260931218,0.23430878099721741,0.10185604345857856,0.11588954277953825,0.13953910897782584,0.21826497395833333,0.36730945821854916,0.074,0.2918426836491085,0.2638565992825786,0.11588954277953825,0.140625,0.18062499999999998,0.29752066115702475,0.9015525553405446,0.096,0.11839985396162421,0.18610336221580143,0.02170087524654832,0.03157552083333333,0.06970944196218921,0.12453124999999998,0.19111111111111112,0.038,0.09474748173704826,0.15954468362042734,0.027702501195915302,0.09774064429012345,0.09455119154029165,hopeless,0.114,0.03209728189193974,0.14320620290248048,0.11343375678306326
0.08,0.15,1,0.94,0.022,0.038,0.0,0.20287329715282723,0.18708986832714386,0.1024,0.12098298676748581,0.14271604938271604,0.20013850415512466,0.28994082840236685,0.042,0.11858379669818472,0.15178870833663607,0.024079024233354337,0.04377070854638423,0.079210683567225,0.13736559259937992,0.22678522825840902,0.022,0.20442249318426914,0.18932226536043553,0.10633270321361059,0.12098298676748581,0.140625,0.2051392871198066,0.3034783737024224,0.044,0.2583595880419076,0.21571681514212482,0.12641975308641976,0.1466727025803531,0.1782716049382716,0.26538108356290174,0.4444444444444444,0.06,0.10361024460212277,0.14284077945351983,0.01984802112401356,0.031516203703703706,0.07185834523802678,0.1265056047038029,0.18282828282828287,0.02,0.08428950045464248,0.13713957414302258,0.02865860091207126,0.0993958652933012,0.08583869648608441,hopeless,0.07999999999999999,0.022962314232286358,0.12212750833243789,0.07745856823607869
0.08,0.18,1,0.978,0.012,0.01,0.0,0.18557307246850413,0.13345862258186897,0.10680529300567108,0.12168739859383451,0.14512471655328796,0.20013850415512466,0.2822265625,0.018,0.11083461334558248,0.12405326110032937,0.024783185389245992,0.04268264616871684,0.07807755404499876,0.14455621690102266,0.22174355266003462,0.012,0.1853111826485986,0.13166850735028363,0.1111111111111111,0.1254340277777778,0.14512471655328796,0.19753086419753085,0.2822265625,0.018,0.2283685339209721,0.1520064196609133,0.13070558623811682,0.1466727025803531,0.1782716049382716,0.26151188666358205,0.3482716577292901,0.022,0.09253281885519406,0.10976992352513613,0.01984877126654064,0.03121370953043062,0.06699864191942054,0.12381835937499999,0.18181818181818185,0.01,0.07473845912292164,0.10620761962642156,0.032522675736961465,0.09973051537225128,0.07447656930301613,hopeless,0.026000000000000002,0.007504822300576546,0.09730818875810993,0.044096445160217025
0.08,0.2,1,0.99,0.004,0.006,0.0,0.17788457528953558,0.10145007847309996,0.10680529300567108,0.1254340277777778,0.14689904934359438,0.20013850415512466,0.26548189300057623,0.006,0.10635510501067261,0.09421371728484804,0.02623244430047151,0.04420847895597858,0.08194819454852723,0.14536157779401024,0.22231833910034604,0.004,0.17771307821041848,0.09916829854908527,0.1111111111111111,0.1254340277777778,0.14730084833159668,0.1980576094428516,0.2775301354743768,0.006,0.22104119744601172,0.12550661566824994,0.13082842915346313,0.1466727025803531,0.1794483024691358,0.25,0.35418845872899946,0.01,0.08718483708688576,0.08444796849091205,0.019600000000000003,0.031141128591291853,0.06699864191942054,0.12437499999999999,0.1751618742864011,0.004,0.07152947027886299,0.07789927327267301,0.031436524334251606,0.09868412661973268,0.07135797319974585,hopeless,0.01,0.003101239013542926,0.07418715889999199,0.0346310127810287
0.1,0.05,1,0.45,0.432,0.118,0.0,0.598198493394945,0.4251840612963956,0.09262759924385634,0.12168739859383451,1.0,1.0,1.0,0.518,0.4789796314720869,0.457072327036879,0.025273063189115597,0.057039384336803986,0.15722638116241744,1.0,1.0,0.432,0.5953245532296346,0.42521031693098965,0.09360261831672216,0.12641975308641976,1.0,1.0,1.0,0.514,0.6591078753894865,0.39870574108366824,0.12098298676748581,0.18080346657654367,1.0,1.0,1.0,0.55,0.475725273006408,0.4594931666841607,0.022458980832981753,0.056514092181815134,0.14926038898940996,1.0,1.0,0.432,0.1192188619228581,0.26895274278564574,0.0,0.07861131401671942,0.1163449217575478,mixed,0.31999999999999995,0.08563114545626192,0.21121479597285797,0.3521042143357371
0.1,0.08,1,0.686,0.192,0.122,0.0,0.39717840497292595,0.38507319131048806,0.0941274468971262,0.1111111111111111,0.16735537190082647,1.0,1.0,0.276,0.26328789777510464,0.36466820482657875,0.023457661977655943,0.04177610765673577,0.0899518669444381,0.2154321915064103,1.0,0.192,0.4046469356705277,0.38458287175099254,0.09679012345679013,0.11588954277953825,0.17728531855955676,1.0,1.0,0.282,0.4751743605525319,0.378939446590318,0.11586058850158443,0.14927685950413222,0.26266436066005916,1.0,1.0,0.31,0.2579163743026797,0.3683528498993177,0.019358563327032136,0.031684027777777776,0.07786328655500227,0.19478767630871263,1.0,0.194,0.13389050719782125,0.2710284438040013,0.0,0.10018849146028079,0.14135903789542303,hopeless,0.316,0.09047564797952133,0.20029892606993033,0.2973230980995998
0.1,0.1,1,0.784,0.11,0.106,0.0,0.3142405223642,0.33371321247879143,0.0930529300567108,0.1111111111111111,0.1466727025803531,0.28444444444444444,1.0,0.18,0.19136524810669187,0.29215471601085147,0.024157442461390545,0.04110041481508855,0.08031368307193078,0.1521730864745801,1.0,0.11,0.3222937286996646,0.3367772907267894,0.09679012345679013,0.1111111111111111,0.14730084833159668,0.29832259784487575,1.0,0.186,0.38956175833369255,0.3408706722934614,0.12092133948598921,0.14271604938271604,0.2111029948867787,0.5210314049586777,1.0,0.21,0.1856593228413104,0.29632514921751424,0.019186640368178833,0.031120510061582837,0.07232084155161077,0.1460920379839299,1.0,0.112,0.12287527425750816,0.23762942725843478,0.012469135802469125,0.10007127185695838,0.13092848059297277,hopeless,0.262,0.07430049269592716,0.1779931623075569,0.23370898741227275
0.1,0.12,1,0.866,0.052,0.082,0.0,0.25359773194533125,0.2653608110741493,0.09765625,0.11581715708465369,0.14589870956682052,0.23507805325987147,0.8814566115702508,0.1,0.1407645618782426,0.2134230468291065,0.02173814631842069,0.04071306303757356,0.07624903549382717,0.1428395061728395,0.25175240592560555,0.052,0.26037016656475304,0.2746615855435756,0.10179440605486946,0.11588954277953825,0.14512471655328796,0.23507805325987147,1.0,0.11,0.3251019711169809,0.2897821380299008,0.12241873985938344,0.14512471655328796,0.19207433261451518,0.337931046941843,1.0,0.13,0.13446021136260258,0.21957238989577907,0.02169625246548323,0.03157552083333333,0.07147622092784352,0.12852076124567474,0.20853994490358127,0.056,0.11283317006708865,0.20734340669666207,0.02641282740053791,0.106125456966989,0.11960560468651045,hopeless,0.196,0.05701327535997394,0.14803215785751037,0.15687377442665762
0.1,0.15,1,0.926,0.024,0.05,0.0,0.21443889450358886,0.20644618790464514,0.1024,0.12098298676748581,0.14512471655328796,0.22015824367430797,0.31640625,0.056,0.12049184283646422,0.15671761942139173,0.023783846057840317,0.04374027376377553,0.0798370303304663,0.13913993665948038,0.23599632690541783,0.024,0.21392827694209343,0.2060093941245155,0.10633270321361059,0.12098298676748581,0.14294312330348366,0.21301775147928997,0.32111111111111107,0.056,0.2731803220691034,0.23240813313405126,0.1254340277777778,0.1466727025803531,0.18367346938775508,0.2827810329861111,0.5166015625,0.074,0.11270385234889824,0.16374304186288813,0.01984877126654064,0.03290295710120782,0.07308641975308643,0.13034024338304034,0.20027700831024933,0.028,0.09394705166712464,0.1629340496722369,0.028916437098255296,0.10033574380165292,0.09343643410562918,hopeless,0.12,0.03126530022995921,0.12595840039197875,0.09555308976505182
0.1,0.18,1,0.968,0.014,0.018,0.0,0.18978852887358472,0.14815146272415666,0.10661442444771861,0.12098298676748581,0.14512471655328796,0.20013850415512466,0.2824483506944445,0.024,0.11235745062689549,0.12997833855372645,0.024691358024691357,0.04278144943212547,0.079210683567225,0.1428395061728395,0.2224048442906575,0.014,0.18919745572764032,0.14361357989067564,0.1111111111111111,0.12098298676748581,0.1444,0.20013850415512466,0.28444444444444444,0.022,0.23808833237150243,0.17256688354281,0.1254340277777778,0.1466727025803531,0.1782716049382716,0.26538108356290174,0.36073094582185505,0.032,0.09508781254512454,0.11756285260829843,0.01999461211854157,0.03121370953043062,0.06670116185385885,0.12358031368307193,0.18282828282828287,0.012,0.0774310782466892,0.11869933167877446,0.031067432330006,0.0998815848653511,0.07684000510074485,hopeless,0.042,0.010961160012765075,0.10476477774180308,0.05210085677960004
0.1,0.2,1,0.986,0.004,0.01,0.0,0.18011049892231845,0.10960800808900165,0.10662224073302788,0.12463257870245179,0.14752719509483797,0.20013850415512466,0.2775301354743768,0.008,0.10583152983759134,0.09418012941733879,0.026155555555555557,0.044003774533342185,0.08084760531218076,0.14455621690102266,0.22231833910034604,0.004,0.18102088070166591,0.10923090947321934,0.1111111111111111,0.1254340277777778,0.14589870956682052,0.2007288781163435,0.2824483506944445,0.008,0.22589469193780196,0.1377882637406756,0.12641975308641976,0.1466727025803531,0.18367346938775508,0.2636961285609934,0.36,0.014,0.08857260168635664,0.08551916046170073,0.01982389413988658,0.03119092627599244,0.06670116185385885,0.12499999999999999,0.18113707312458618,0.004,0.0742789690847271,0.08742052963058607,0.030323500153045604,0.10171984877126652,0.07518935086407454,hopeless,0.018000000000000002,0.005967187362008757,0.08160639512053719,0.036885760942140376
0.12,0.05,1,0.4,0.458,0.142,0.0,0.6364739486231878,0.41960266228492044,0.09610578925447731,0.1338488994646044,1.0,1.0,1.0,0.562,0.5014125117861163,0.4606871711580637,0.025334540390034892,0.05699828825260299,0.17490067922593877,1.0,1.0,0.458,0.6275232555633813,0.4214915107938622,0.09679012345679013,0.13188066100737406,1.0,1.0,1.0,0.552,0.7058053231639105,0.38390073590933504,0.12641975308641976,0.22001956518419125,1.0,1.0,1.0,0.598,0.503415642123349,0.462466317594914,0.02373646782976229,0.05704608098660403,0.18273645546372821,1.0,1.0,0.462,0.13506143683707142,0.29729424794800063,0.0,0.08365351990842758,0.12611074377726483,mixed,0.38599999999999995,0.09836291144229702,0.20451728739712288,0.34650431664132647
0.12,0.08,1,0.624,0.228,0.148,0.0,0.43414324060962245,0.3991786051120517,0.09610578925447731,0.1111111111111111,0.18699780861943027,1.0,1.0,0.316,0.2958885431441356,0.38747843570288515,0.023790992981336197,0.04367760416666667,0.09426226092472287,0.2662993572084481,1.0,0.228,0.4425789461046486,0.3993446992756866,0.09679012345679013,0.11588954277953825,0.19207433261451518,1.0,1.0,0.326,0.5294453066660465,0.391234029591631,0.1162190082644628,0.16000000000000003,0.33062499999999995,1.0,1.0,0.37,0.28278806899895587,0.38492167301225166,0.020361081665765283,0.03839506172839506,0.09045823079851065,0.2216796875,1.0,0.22,0.13825469746548683,0.2857007287656745,0.0,0.10648913376186103,0.14669040296051297,hopeless,0.362,0.10058975143068068,0.21466031462633076,0.3079530514285854
0.12,0.1,1,0.728,0.136,0.136,0.0,0.34851535228609215,0.35646315302267145,0.09262759924385634,0.1111111111111111,0.15605893879899144,0.38639369473279506,1.0,0.216,0.2151270493837526,0.3183944416720203,0.0232045788699853,0.04177913223140496,0.08429980276134122,0.16920630701429978,1.0,0.136,0.3599847852756134,0.35862691134036956,0.09679012345679013,0.11588954277953825,0.16000000000000003,0.4404101135749054,1.0,0.224,0.44090449043984076,0.3630797428539524,0.12098298676748581,0.14927685950413222,0.2373438527284681,1.0,1.0,0.264,0.2127516384523791,0.32614925956444274,0.019358563327032136,0.032009548611111105,0.07762855831037649,0.16096876414667272,1.0,0.142,0.1333883029023395,0.25798816094790866,0.013488704520525557,0.10830692621095522,0.14485773589186085,hopeless,0.326,0.09125354392679128,0.19256084961871486,0.25661377825740894
0.12,0.12,1,0.83,0.06,0.11,0.0,0.2718260588064891,0.2847708608381613,0.09765625,0.11588954277953825,0.14792899408284024,0.25,1.0,0.116,0.145889232636648,0.22675483293914558,0.020399930555555557,0.03888364981349775,0.07537355243921207,0.1385884261763115,0.25198003472222225,0.06,0.28346296750263933,0.2975897690480881,0.09765625,0.11588954277953825,0.14589870956682052,0.2631626909173686,1.0,0.13,0.36086580210307917,0.3145179700657523,0.1254340277777778,0.14927685950413222,0.21388543731013876,0.4011111111111111,1.0,0.162,0.14481891156219756,0.23557340167416224,0.02212928857767597,0.03400785239281475,0.07277033101208924,0.13429752066115702,0.2200703125,0.066,0.12593682616984114,0.22857518440962776,0.028475936926755013,0.11322390572390571,0.13757373486599142,hopeless,0.248,0.07263644149690708,0.16545949371752847,0.1709057359351446
0.12,0.15,1,0.9,0.03,0.07,0.0,0.23120848298840047,0.2286122772271422,0.1024,0.12036651395251978,0.1454081632653061,0.22675736961451246,0.3814878892733564,0.066,0.12442719241338475,0.17024486511976544,0.023069345068798666,0.04366042388155411,0.07915978584176087,0.13570128847831514,0.2366936514356662,0.03,0.2344834537979101,0.2323890306643528,0.1024,0.12098298676748581,0.14512471655328796,0.23507805325987147,0.4011111111111111,0.072,0.30013817755336764,0.26206274667792107,0.12632118055555558,0.1466727025803531,0.19317120761451517,0.307586552182719,0.9234404536862024,0.1,0.11934831193043086,0.1777767367878765,0.01984802112401356,0.03325405048172077,0.07441546989166037,0.13346533516988063,0.20333404195011343,0.034,0.10678129057501573,0.1786705489283702,0.0315288518738846,0.10435590087694299,0.11005626138452536,hopeless,0.15600000000000003,0.04323871497480785,0.14620339580982594,0.10808005992363244
0.12,0.18,1,0.942,0.02,0.038,0.0,0.2066869963032533,0.1858461554928405,0.10662224073302788,0.12098298676748581,0.14512471655328796,0.21158168403490651,0.31640625,0.042,0.11614838654867873,0.14616183339374691,0.02463243016173073,0.042414933837429114,0.08000000000000002,0.13570128847831514,0.22545622778672977,0.02,0.20751070658593856,0.18122144960172543,0.10662224073302788,0.12098298676748581,0.14512471655328796,0.21301775147928997,0.32111111111111107,0.04,0.26413458287194125,0.21415101462068983,0.1254340277777778,0.1466727025803531,0.18801686272181345,0.2822265625,0.4444444444444444,0.058,0.10344259331482797,0.13762185196537308,0.022170275036055523,0.03121370953043062,0.06745133544590312,0.13082842915346313,0.19070874424720582,0.018,0.09053860975457456,0.14708799866200442,0.03493055555555559,0.1019087376601554,0.09136232003725984,hopeless,0.09,0.02184339600058597,0.1280158024401636,0.07133330375035865
