alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,solved_fraction_spread,rounds_spread,mean_final_anc,mean_solved_fraction,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_solved_fraction_mean,random_fully_restored_count,random_fully_restored_fraction,random_episode_count,random_unsolved_low_anc_count,random_unsolved_low_anc_fraction,random_final_anc_failure_threshold_used,random_rounds_when_solved_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_solved_fraction_mean,degree_fully_restored_count,degree_fully_restored_fraction,degree_episode_count,degree_unsolved_low_anc_count,degree_unsolved_low_anc_fraction,degree_final_anc_failure_threshold_used,degree_rounds_when_solved_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_solved_fraction_mean,risk_fully_restored_count,risk_fully_restored_fraction,risk_episode_count,risk_unsolved_low_anc_count,risk_unsolved_low_anc_fraction,risk_final_anc_failure_threshold_used,risk_rounds_when_solved_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_solved_fraction_mean,greedy_fully_restored_count,greedy_fully_restored_fraction,greedy_episode_count,greedy_unsolved_low_anc_count,greedy_unsolved_low_anc_fraction,greedy_final_anc_failure_threshold_used,greedy_rounds_when_solved_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_solved_fraction_mean,betweenness_fully_restored_count,betweenness_fully_restored_fraction,betweenness_episode_count,betweenness_unsolved_low_anc_count,betweenness_unsolved_low_anc_fraction,betweenness_final_anc_failure_threshold_used,betweenness_rounds_when_solved_mean,betweenness_rounds_mean
0.1,0.1,3,decision-sensitive,0.5735105884207459,0.39678174717824555,0.4444444444444444,2.0555555555555554,0.7860250849674295,0.7444444444444445,0.6785683878099921,greedy,random,greedy,0.9133029513888888,,0.5165212042106433,0.10619107757902754,0.4444444444444444,8,0.4444444444444444,18,10,0.5555555555555556,0.3,1.125,1.7222222222222223,0.9115781877782113,0.06073141938788815,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,3.75,3.5,0.6803244520116357,0.09734552863340558,0.6111111111111112,11,0.6111111111111112,18,7,0.3888888888888889,0.3,2.1818181818181817,2.0555555555555554,0.9133029513888888,0.05947368469134747,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,3.0625,3.0,0.9083986294477685,0.06284186401243963,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,4.0625,3.7777777777777777
0.1,0.1,4,trivial,0.3156235537068755,0.1916818074392317,0.2222222222222222,0.33333333333333326,0.9346135578138017,0.9222222222222222,0.6785683878099921,degree,random,degree,1.0,,0.8083181925607683,0.08778642647909037,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,1.6428571428571428,1.6666666666666667,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.8888888888888888,1.8888888888888888,0.8647495965082402,0.07361345767216142,0.8333333333333334,15,0.8333333333333334,18,3,0.16666666666666666,0.3,1.8,1.7777777777777777,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.7777777777777777,1.7777777777777777,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,2.0,2.0
0.1,0.15,1,decision-sensitive,0.3415296213883717,0.08100643947153058,0.05555555555555555,0.7777777777777777,0.241940503164969,0.14444444444444443,0.7236724982034084,greedy,risk,greedy,0.27632750179659155,,0.19931037170234162,0.07249326319933255,0.1111111111111111,2,0.1111111111111111,18,16,0.8888888888888888,0.3,1.0,1.2222222222222223,0.27010792364624,0.08180860185743517,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,4.0,2.0,0.19532106232506097,0.07205261219493847,0.1111111111111111,2,0.1111111111111111,18,16,0.8888888888888888,0.3,1.0,1.3333333333333333,0.27632750179659155,0.08093250504941943,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,4.0,2.0,0.2686356563546109,0.08206899285401915,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,4.0,2.0
0.1,0.15,2,decision-sensitive,0.8310330896620257,0.5123170164420208,0.5555555555555556,2.5555555555555554,0.5130864698889639,0.4333333333333333,0.7236724982034084,greedy,random,greedy,0.7312047956196293,,0.21888777917760846,0.07071713964084973,0.1111111111111111,2,0.1111111111111111,18,16,0.8888888888888888,0.3,1.0,1.6666666666666667,0.6854585260519951,0.09598577229683494,0.6111111111111112,11,0.6111111111111112,18,7,0.3888888888888889,0.3,5.636363636363637,4.222222222222222,0.2978926736902327,0.09175794733819687,0.2222222222222222,4,0.2222222222222222,18,14,0.7777777777777778,0.3,3.25,2.0,0.7312047956196293,0.09228536750663355,0.6666666666666666,12,0.6666666666666666,18,6,0.3333333333333333,0.3,5.5,4.222222222222222,0.6319885749053542,0.10013711185006,0.5555555555555556,10,0.5555555555555556,18,8,0.4444444444444444,0.3,5.7,4.111111111111111
0.1,0.15,3,decision-sensitive,0.8794857066922521,0.6063918917499951,0.7222222222222222,3.2222222222222223,0.6117704432078751,0.5333333333333333,0.7236724982034084,greedy,random,greedy,0.9095594618055556,,0.3031675700555605,0.07806915868350701,0.16666666666666666,3,0.16666666666666666,18,15,0.8333333333333334,0.3,1.0,1.5,0.7852121466276817,0.0842216004636738,0.7222222222222222,13,0.7222222222222222,18,5,0.2777777777777778,0.3,5.384615384615385,4.5,0.31850441577304023,0.08942020065931515,0.2222222222222222,4,0.2222222222222222,18,14,0.7777777777777778,0.3,2.75,2.0,0.9095594618055556,0.06210145921348521,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,5.125,4.722222222222222,0.7424086217775374,0.08854095324004332,0.6666666666666666,12,0.6666666666666666,18,6,0.3333333333333333,0.3,5.5,4.444444444444445
0.1,0.15,4,decision-sensitive,0.635036923932681,0.518655183053996,0.6111111111111112,1.3333333333333333,0.8211227799978037,0.788888888888889,0.7236724982034084,degree,random,degree,1.0,,0.48134481694600395,0.10144501145188656,0.3888888888888889,7,0.3888888888888889,18,11,0.6111111111111112,0.3,2.0,2.1666666666666665,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,3.111111111111111,3.111111111111111,0.6242690830430143,0.10256276060116094,0.5555555555555556,10,0.5555555555555556,18,8,0.4444444444444444,0.3,2.3,1.9444444444444444,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,2.9444444444444446,2.9444444444444446,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,3.2777777777777777,3.2777777777777777
0.15,0.05,1,decision-sensitive,0.5197424073235821,0.1660926666593251,0.16666666666666674,1.1666666666666667,0.5814694249025946,0.5333333333333334,0.3293220531026144,greedy,risk,greedy,0.6706779468973856,,0.5190459158715699,0.1167176262852555,0.5,9,0.5,18,9,0.5,0.3,1.0,1.6666666666666667,0.6067941439373737,0.10701862351439032,0.5555555555555556,10,0.5555555555555556,18,8,0.4444444444444444,0.3,2.6,2.8333333333333335,0.5045852802380605,0.10873086704554435,0.4444444444444444,8,0.4444444444444444,18,10,0.5555555555555556,0.3,1.0,1.8888888888888888,0.6706779468973856,0.10053412916673538,0.6111111111111112,11,0.6111111111111112,18,7,0.3888888888888889,0.3,1.5454545454545454,2.0555555555555554,0.6062438375685835,0.10715995690850001,0.5555555555555556,10,0.5555555555555556,18,8,0.4444444444444444,0.3,1.5,2.0
0.15,0.05,2,trivial,0.28371231420724946,0.2063644388834318,0.2222222222222222,1.0555555555555554,0.8970602361672974,0.8777777777777779,0.3293220531026144,greedy,random,greedy,1.0,,0.7936355611165682,0.09378832917776248,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,1.0,1.2222222222222223,0.9166166971354636,0.05726144341326762,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,1.5625,1.7222222222222223,0.8149252246677886,0.08425043678652065,0.7777777777777778,14,0.7777777777777778,18,4,0.2222222222222222,0.3,1.0714285714285714,1.3888888888888888,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,2.2777777777777777,2.2777777777777777,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,2.1176470588235294,2.1666666666666665
0.15,0.05,3,trivial,0.22521582962098669,0.1518905490931548,0.16666666666666663,0.5,0.9275812385109065,0.9111111111111111,0.3293220531026144,greedy,random,greedy,1.0,,0.8481094509068452,0.08242152250098414,0.8333333333333334,15,0.8333333333333334,18,3,0.16666666666666666,0.3,0.9333333333333333,1.1111111111111112,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,1.2941176470588236,1.3888888888888888,0.8695493458143543,0.07095903580439328,0.8333333333333334,15,0.8333333333333334,18,3,0.16666666666666666,0.3,1.0,1.3333333333333333,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.6111111111111112,1.6111111111111112,0.9601236979166666,0.039876302083333336,0.9444444444444444,17,0.9444444444444444,18,1,0.05555555555555555,0.3,1.411764705882353,1.5
0.15,0.05,4,trivial,0.14446476023644667,0.09752019290524916,0.11111111111111116,0.2777777777777779,0.9804959614189501,0.9777777777777779,0.3293220531026144,degree,random,degree,1.0,,0.9024798070947508,0.06736948741321737,0.8888888888888888,16,0.8888888888888888,18,2,0.1111111111111111,0.3,0.8125,1.0,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,1.2222222222222223,1.2222222222222223,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444,1.0,0.0,1.0,18,1.0,18,0,0.0,0.3,0.9444444444444444,0.9444444444444444
