graph_id,graph_seed,n,mean_degree,max_degree,alpha,pfail,budget_ref,scaled_budget,seed_index,env_seed,policy,n_failed_at_start,pr_post_cascade,feasibility_ratio,final_pr,n_active_final,solved,spread_vs_random,instance_label
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,degree,46,0.0,9.2,0.39744801512287337,29,False,0.39697542533081287,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,betweenness,46,0.0,9.2,0.01606805293005671,8,False,0.015122873345935728,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,degree,46,0.0,9.2,0.01606805293005671,8,False,0.015122873345935728,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,-0.0009451795841209829,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.0009451795841209829,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,random,46,0.0,9.2,0.0014177693761814744,3,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,betweenness,46,0.0,9.2,0.011342155009451795,10,False,0.010396975425330812,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,degree,46,0.0,9.2,0.011342155009451795,10,False,0.010396975425330812,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,degree,46,0.0,9.2,0.00047258979206049145,1,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,5,202602005,betweenness,46,0.0,9.2,0.0018903591682419658,2,False,0.0014177693761814744,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,5,202602005,degree,46,0.0,9.2,0.0018903591682419658,2,False,0.0014177693761814744,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,5,202602005,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,6,202602006,betweenness,46,0.0,9.2,1.0,46,True,0.9995274102079396,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,6,202602006,degree,46,0.0,9.2,1.0,46,True,0.9995274102079396,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,6,202602006,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,7,202602007,betweenness,46,0.0,9.2,0.250945179584121,25,False,0.25,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,7,202602007,degree,46,0.0,9.2,0.0018903591682419658,4,False,0.0009451795841209829,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,7,202602007,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,8,202602008,betweenness,46,0.0,9.2,0.014177693761814745,8,False,0.013232514177693762,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,8,202602008,degree,46,0.0,9.2,1.0,46,True,0.999054820415879,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,8,202602008,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,decision_sensitive
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,9,202602009,betweenness,46,0.0,9.2,0.25,23,False,0.23629489603024575,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,9,202602009,degree,46,0.0,9.2,0.25,23,False,0.23629489603024575,hopeless
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,9,202602009,random,46,0.0,9.2,0.013705103969754252,15,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,betweenness,46,0.0,9.2,0.023156899810964086,7,False,0.020321361058601137,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,degree,46,0.0,9.2,0.023156899810964086,7,False,0.020321361058601137,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,random,46,0.0,9.2,0.0028355387523629487,6,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,betweenness,46,0.0,9.2,0.0,0,False,-0.0018903591682419658,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.0014177693761814744,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,random,46,0.0,9.2,0.0018903591682419658,4,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,-0.00047258979206049145,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,degree,46,0.0,9.2,0.00047258979206049145,1,False,-0.00047258979206049145,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,betweenness,46,0.0,9.2,0.00047258979206049145,1,False,0.00047258979206049145,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,degree,46,0.0,9.2,0.007561436672967863,4,False,0.007561436672967863,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,random,46,0.0,9.2,0.0,0,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,betweenness,46,0.0,9.2,0.2088846880907372,22,False,0.20793950850661622,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,degree,46,0.0,9.2,0.2088846880907372,22,False,0.20793950850661622,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,5,202603005,betweenness,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,5,202603005,degree,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,5,202603005,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,6,202603006,betweenness,46,0.0,9.2,0.00945179584120983,8,False,0.008506616257088847,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,6,202603006,degree,46,0.0,9.2,0.006616257088846881,8,False,0.005671077504725898,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,6,202603006,random,46,0.0,9.2,0.0009451795841209829,2,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,7,202603007,betweenness,46,0.0,9.2,0.00330812854442344,5,False,0.0014177693761814741,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,7,202603007,degree,46,0.0,9.2,0.0,0,False,-0.0018903591682419658,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,7,202603007,random,46,0.0,9.2,0.0018903591682419658,4,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,8,202603008,betweenness,46,0.0,9.2,0.09404536862003782,17,False,0.09357277882797732,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,8,202603008,degree,46,0.0,9.2,0.2296786389413989,24,False,0.2292060491493384,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,8,202603008,random,46,0.0,9.2,0.00047258979206049145,1,False,0.0,hopeless
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,9,202603009,betweenness,46,0.0,9.2,0.0,0,False,-0.00047258979206049145,hopeless
