alpha,pfail,budget_ref,n_failed_mean,n_failed_std,n_failed_p10,n_failed_p25,n_failed_p50,n_failed_p75,n_failed_p90,pr_post_cascade_mean,pr_post_cascade_std,pr_post_cascade_p10,pr_post_cascade_p25,pr_post_cascade_p50,pr_post_cascade_p75,pr_post_cascade_p90,feasibility_ratio_mean,feasibility_ratio_std,frac_infeasible,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree,across_graph_std_nfailed,within_graph_std_nfailed
0.1,0.15,1,41.495,6.594996209248342,33.0,37.0,43.0,46.0,48.0,0.005795449561003607,0.07461892353640377,0.0,0.0,0.0,0.0,0.0,8.299,1.3189992418496683,0.994,0.94,0.026,0.034,0.0,0.05804817490806438,0.20729597203248804,0.0,0.00047258979206049145,0.0009765625,0.0044444444444444444,0.044995408631772274,0.04,0.02751642969515413,0.1588989168854914,0.0004938271604938272,0.0008680555555555555,0.0012500000000000002,0.0018903591682419658,0.003138304459044077,0.026,0.058091910969366126,0.20954212418620385,0.0,0.00047258979206049145,0.0009765625,0.004253308128544423,0.03809027777777784,0.038,0.03053174521291025,0.13867716498414562,-0.0009182736455463729,0.001973117101322229,0.03057548127421198,hopeless,0.023950810480545873,0.022318050882897164,0.07940668252201703,0.12443460088240166,5.977731593171444,0.675
0.1,0.18,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.972,0.01,0.018,0.0,0.029873151269626724,0.14396718935173944,0.0,0.0004938271604938272,0.0009765625,0.0030864197530864196,0.016436554898093356,0.018,0.012593215607691189,0.10414500972661832,0.0005668934240362811,0.0009053870529651426,0.0013149243918474686,0.0018903591682419658,0.0029856199646007327,0.011,0.029623147838559523,0.14513837850106304,0.0004,0.0004938271604938272,0.001036820288783206,0.0031984687589381674,0.014692378328741967,0.017,0.017279935661935534,0.11481773624059353,-0.0009182736455463729,0.00132571343874753,0.01702993223086834,hopeless,0.013766418870687608,0.013488327097231368,0.05574849901496371,0.06486149686668798,5.805307916036839,0.0
0.1,0.2,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.989,0.003,0.008,0.0,0.01401780834735035,0.08549840351292758,0.0004,0.0004938271604938272,0.0011111111111111111,0.002786179106915157,0.00921126755807482,0.005,0.00467873436255388,0.054618549781470425,0.0006574621959237343,0.0009451795841209829,0.001358080579447714,0.001972386587771203,0.0029744199881023203,0.003,0.013873424771941657,0.08578736855285837,0.0004,0.0005108534843383328,0.0011337868480725622,0.0027700831024930744,0.008817185728458056,0.005,0.009339073984796472,0.06622550299021189,-0.0009182736455463729,0.0013149243918474684,0.009194690409387776,hopeless,0.005228771630921697,0.005263407385268743,0.029070687390384157,0.031657189422145814,5.805307916036839,0.0
0.12,0.05,1,33.983,17.31723739515053,0.0,32.0,42.0,46.0,48.0,0.19134941921113108,0.38897990299257973,0.0,0.0,0.0,0.0,1.0,6.796600000000001,3.4634474790301066,0.805,0.39,0.468,0.142,0.0,0.5966385975941314,0.4633071362719299,0.0005165289256198347,0.011300830589764718,1.0,1.0,1.0,0.54,0.476175496065724,0.4979342831180511,0.00047258979206049145,0.0009876543209876543,0.0044444444444444444,1.0,1.0,0.474,0.5917575165370502,0.4626949848563901,0.0005165289256198347,0.010303030303030303,1.0,1.0,1.0,0.532,0.12046310152840727,0.30534001336505023,0.0,0.02314386897679952,0.11558202047132628,mixed,0.11295280507020063,0.09837999394205311,0.1845120769257081,0.4171175345599364,8.707996956820782,13.51704565817206
0.12,0.08,1,38.207,12.903338753981467,30.0,34.0,42.0,46.0,48.0,0.08519296874184011,0.2744191100616559,0.0,0.0,0.0,0.0,0.0,7.6414,2.5806677507962936,0.912,0.637,0.236,0.127,0.0,0.35056102319941307,0.4470002225719947,0.0003600000000000023,0.000761318751183616,0.02439453125,1.0,1.0,0.292,0.24382976733036804,0.42775034021339636,0.0004526935264825713,0.0008673046424452133,0.001358080579447714,0.008264462809917356,1.0,0.242,0.3524517824330197,0.44743769657785204,0.0,0.0007209753363455543,0.017898697664325877,1.0,1.0,0.293,0.10673125586904499,0.28644436811895324,0.0,0.026389182301359754,0.10862201510265171,hopeless,0.09805815535333508,0.08763108281208734,0.19303326815669658,0.39436007951541474,6.8520253210273525,8.306933096072406
0.12,0.1,1,40.033,9.999695545365368,32.0,37.0,43.0,46.0,48.0,0.04033101541292543,0.19271518884094221,0.0,0.0,0.0,0.0,0.0,8.0066,1.9999391090730738,0.958,0.747,0.138,0.115,0.0,0.23980651027166894,0.39473958562887645,0.0,0.0005668934240362811,0.0044444444444444444,0.31655346199456047,1.0,0.186,0.14140954215852533,0.3464419521055737,0.0004526935264825713,0.0008329862557267803,0.0012494793835901704,0.0024691358024691358,1.0,0.14,0.2415255924193538,0.3965420800222304,0.0,0.0005668934240362811,0.003710766366478002,0.3127128027681661,1.0,0.187,0.09839696811314362,0.26667560507529603,-0.00047258979206049145,0.02104813279478458,0.10011605026082844,hopeless,0.08803614384810314,0.08182271145492405,0.1627977626526931,0.3371252916217454,6.374277292368132,4.4836421401667295
0.12,0.12,1,40.893,8.212767560329466,32.0,37.0,43.0,46.0,48.0,0.020115816353392182,0.13740164804705776,0.0,0.0,0.0,0.0,0.0,8.178600000000001,1.642553512065893,0.979,0.847,0.066,0.087,0.0,0.14710660451391372,0.3229107676036101,0.0,0.0004938271604938272,0.0019753086419753087,0.03305785123966942,1.0,0.104,0.07155737561687173,0.25475871363175207,0.0004526935264825713,0.0008329862557267803,0.0012494793835901704,0.0019753086419753087,0.004325259515570935,0.07,0.15308073917309872,0.32870948621130536,0.0,0.0005165289256198347,0.0018750000000000004,0.03242619851011459,1.0,0.103,0.07554922889704198,0.24273954124058125,-0.0006250000000000001,0.011312635718454561,0.081523363556227,hopeless,0.06792327933212469,0.06283000023254837,0.1283142233193078,0.2481634185403001,6.15571693631213,2.407
0.12,0.15,1,41.374,6.949397383946323,33.0,37.0,43.0,46.0,48.0,0.008609544768389937,0.09037755628699559,0.0,0.0,0.0,0.0,0.0,8.274799999999999,1.3898794767892646,0.991,0.917,0.033,0.05,0.0,0.07959284122366744,0.24065410499763776,0.0,0.0004938271604938272,0.001387924977814594,0.0087890625,0.1491360946745565,0.052,0.035500342311184215,0.18095787118831183,0.0004938271604938272,0.0008680555555555555,0.0012500000000000002,0.0019060506261814744,0.003333333333333333,0.034,0.08095455444890219,0.24426827466587464,0.0,0.0004938271604938272,0.0015495867768595042,0.007901234567901235,0.14636729387195188,0.05,0.04409249891248324,0.1719407736058259,-0.0008680555555555555,0.0049984381507705115,0.04545421213771798,hopeless,0.036330503310215916,0.03385724067033924,0.09979895747567001,0.15355186946215899,6.010351404036207,1.038
0.12,0.18,1,41.68,5.939494928022079,33.0,37.0,43.0,46.0,48.10000000000002,0.0009070294784580498,0.028668445585993848,0.0,0.0,0.0,0.0,0.0,8.336,1.1878989856044158,0.999,0.956,0.015,0.029,0.0,0.044109288747921326,0.17721404851114023,0.0,0.0004938271604938272,0.0010816657652785288,0.0044444444444444444,0.03312566045139596,0.026,0.018539764758921058,0.12907659595821694,0.0005165289256198347,0.0009053870529651426,0.0013020833333333333,0.0018903591682419658,0.0029629629629629632,0.017,0.04625066498987746,0.1850967873185863,0.0004,0.0004938271604938272,0.0011337868480725622,0.0044444444444444444,0.031645136485966945,0.027,0.025569523989000274,0.14145287803188558,-0.0008773884299079523,0.0022222222222222222,0.027710900230956407,hopeless,0.02177034901487911,0.022549082019689266,0.07207282043015603,0.0901855225086931,5.817009540992691,0.12
0.12,0.2,1,41.72,5.80530791603684,33.0,37.75,43.0,46.0,48.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344,1.1610615832073683,1.0,0.977,0.005,0.018,0.0,0.0248066351409801,0.12478368712413178,0.0004,0.0004938271604938272,0.0011337868480725622,0.0036730945821854917,0.015706155489809356,0.01,0.007648469833145878,0.07711311294163749,0.0006250000000000001,0.0009451795841209829,0.0013365024856475914,0.001972386587771203,0.0029296875,0.006,0.024826333217957398,0.1255523270963311,0.0004,0.0005165289256198347,0.0013149243918474686,0.0036730945821854917,0.014224339873690534,0.009,0.01715816530783422,0.10629928372196129,-0.0009182736455463729,0.0017612201561065196,0.017177863384811518,hopeless,0.01289297702818922,0.012595946566462393,0.04735108990253844,0.053748401641422555,5.805307916036839,0.0
