alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,threshold_hit_spread,rounds_spread,mean_final_anc,mean_threshold_hit,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_threshold_hit_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_threshold_hit_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_threshold_hit_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_threshold_hit_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_threshold_hit_mean,betweenness_rounds_mean
0.2,0.08,3,trivial,0.1412763554380347,0.16526362148176454,0.05555555555555558,0.5555555555555556,0.9453854254779565,0.9888888888888889,0.2162746238863319,degree,random,degree,1.0,,0.8347363785182355,0.08710212252497444,0.9444444444444444,1.8888888888888888,1.0,0.0,1.0,1.4444444444444444,0.8921907488715471,0.06932603729237755,1.0,2.0,1.0,0.0,1.0,1.4444444444444444,1.0,0.0,1.0,1.5
0.2,0.08,4,trivial,0.052825395351899285,0.022256908313099788,0.0,0.16666666666666674,0.9955486183373801,1.0,0.2162746238863319,degree,random,degree,1.0,,0.9777430916869002,0.021629826950277885,1.0,1.2222222222222223,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.1111111111111112,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556
0.2,0.1,1,decision-sensitive,0.5512423322524209,0.22294214250113614,0.11111111111111116,0.0555555555555558,0.5132773896960658,0.5666666666666667,0.38706213572169224,greedy,random,greedy,0.6129378642783078,,0.3899957217771716,0.11469660930555979,0.5,3.8333333333333335,0.578636407221941,0.10375057569449853,0.6111111111111112,3.7777777777777777,0.4065411032360608,0.1127041622985635,0.5,3.7777777777777777,0.6129378642783078,0.09904493486111571,0.6111111111111112,3.7777777777777777,0.5782758519668482,0.10386162295684363,0.6111111111111112,3.7777777777777777
0.2,0.1,2,decision-sensitive,0.3809956302046576,0.31089501004429887,0.2777777777777778,0.44444444444444464,0.8089084594712969,0.8777777777777779,0.38706213572169224,greedy,random,greedy,0.9235813266895119,,0.612686316645213,0.11443963594584834,0.8333333333333334,3.0,0.901857872570168,0.06291121941995466,0.9444444444444444,2.5555555555555554,0.691489093540616,0.09870529871757114,0.7222222222222222,3.0,0.9235813266895119,0.043157365761283255,1.0,2.6666666666666665,0.914927687910975,0.05088480645404109,0.8888888888888888,2.611111111111111
0.2,0.1,3,trivial,0.17286500265490634,0.14625984142156057,0.05555555555555558,0.5555555555555554,0.9462903669118902,0.9777777777777779,0.38706213572169224,degree,risk,degree,1.0,,0.8777116759810107,0.06915660762025852,0.9444444444444444,2.0555555555555554,1.0,0.0,1.0,1.6111111111111112,0.8537401585784394,0.07323473474881022,0.9444444444444444,2.1666666666666665,1.0,0.0,1.0,1.6666666666666667,1.0,0.0,1.0,1.7222222222222223
0.2,0.1,4,trivial,0.10328510700882974,0.05126973664443246,0.0,0.5555555555555556,0.9801793199026502,1.0,0.38706213572169224,degree,risk,degree,1.0,,0.9521663361576829,0.04648596546979208,1.0,1.7222222222222223,1.0,0.0,1.0,1.2777777777777777,0.9487302633555675,0.03855500169162598,1.0,1.8333333333333333,1.0,0.0,1.0,1.2777777777777777,1.0,0.0,1.0,1.3333333333333333
0.4,0.02,1,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778
0.4,0.02,2,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.4,0.02,3,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.4,0.02,4,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
