alpha,pfail,budget_ref,n_failed_mean,n_failed_std,n_failed_p10,n_failed_p25,n_failed_p50,n_failed_p75,n_failed_p90,pr_post_cascade_mean,pr_post_cascade_std,pr_post_cascade_p10,pr_post_cascade_p25,pr_post_cascade_p50,pr_post_cascade_p75,pr_post_cascade_p90,feasibility_ratio_mean,feasibility_ratio_std,frac_infeasible,f_hopeless,f_trivial,f_ds,f_ambiguous,final_pr_degree_mean,final_pr_degree_std,final_pr_degree_p10,final_pr_degree_p25,final_pr_degree_p50,final_pr_degree_p75,final_pr_degree_p90,solved_frac_degree,final_pr_random_mean,final_pr_random_std,final_pr_random_p10,final_pr_random_p25,final_pr_random_p50,final_pr_random_p75,final_pr_random_p90,solved_frac_random,final_pr_betweenness_mean,final_pr_betweenness_std,final_pr_betweenness_p10,final_pr_betweenness_p25,final_pr_betweenness_p50,final_pr_betweenness_p75,final_pr_betweenness_p90,solved_frac_betweenness,spread_degree_random_mean,spread_degree_random_std,spread_degree_random_p25,spread_degree_random_p75,spread_betweenness_random_mean,cell_label,interestingness_degree,interestingness_betweenness,across_graph_std_pr_degree,within_graph_std_pr_degree,across_graph_std_nfailed,within_graph_std_nfailed
0.05,0.1,2,41.766666666666666,9.94546239358544,33.0,37.0,46.0,49.0,49.1,0.03333333333333333,0.17950549357115012,0.0,0.0,0.0,0.0,0.0,4.176666666666668,0.994546239358544,0.9666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.0,0.5391330705105487,0.4502350124087135,0.014675851822925074,0.051984877126654075,0.5599750104123282,1.0,1.0,0.4666666666666667,0.28419339951382483,0.4387928435269042,0.0012499479383590172,0.0018786969892769516,0.003490611563304466,0.8613406795224977,1.0,0.26666666666666666,0.5576174918403758,0.4365877361140995,0.015410245730945439,0.06098537004058838,0.561340226071525,1.0,1.0,0.4666666666666667,0.2549396709967239,0.3682055755887082,0.0006000000000000001,0.3864089129529362,0.27342409232655096,mixed,0.22095511999455078,0.2157489558962584,0.32343453358371876,0.24579660450706792,8.275868534480233,1.7441967269268173
0.05,0.15,2,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300000000000001,0.632455532033676,1.0,0.8,0.03333333333333333,0.16666666666666666,0.0,0.20417838166513033,0.3110257368304836,0.0040416613795858786,0.00857634342653384,0.056450876552227906,0.24068512545851534,0.7890625000000003,0.1,0.03661517281132936,0.17892005877347134,0.0012163588097857908,0.0018306703715082052,0.0027774104683195595,0.0041351606805293,0.00740977252150295,0.03333333333333333,0.2226111592884318,0.311599329830142,0.004202821130767032,0.015272591875100898,0.05962096093377216,0.2864871309742764,0.6760000000000006,0.1,0.16756320885380097,0.2745009208723407,0.0046930055543890695,0.15837151187005416,0.18599598647710242,hopeless,0.1166477804339254,0.11360611376725874,0.18508854383289833,0.17581577264202777,6.324555320336759,0.0
0.1,0.05,2,38.333333333333336,15.990274822181414,0.0,34.0,46.0,49.0,49.1,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,3.8333333333333344,1.5990274822181416,0.8666666666666667,0.03333333333333333,0.7,0.26666666666666666,0.0,0.9384496246706698,0.19718302614029645,0.8953213610586013,1.0,1.0,1.0,1.0,0.8666666666666667,0.7018585972626497,0.45544259009524424,0.0022261567859957676,0.011629107706499702,1.0,1.0,1.0,0.7,0.9374106750836596,0.19721963033870124,0.8650504200754413,1.0,1.0,1.0,1.0,0.8666666666666667,0.2365910274080204,0.4014352381590227,0.0,0.3477062664501007,0.23555207782100995,trivial,0.23537804694173178,0.23433909735472136,0.10472010938372638,0.08155409351118208,14.179797835888447,3.299831645537222
0.1,0.1,2,41.766666666666666,9.94546239358544,33.0,37.0,46.0,49.0,49.1,0.03333333333333333,0.17950549357115012,0.0,0.0,0.0,0.0,0.0,4.176666666666668,0.994546239358544,0.9666666666666667,0.4666666666666667,0.3,0.23333333333333334,0.0,0.5509730966684067,0.4470238728966025,0.01685293383585447,0.06958884688090738,0.6832569762598918,1.0,1.0,0.4666666666666667,0.31750463974370613,0.45368571671291613,0.0009339602512815627,0.0018107741059302852,0.00488147500091133,1.0,1.0,0.3,0.5776929437564147,0.4242098758824318,0.025101323251417774,0.1379962192816635,0.6563006592243781,1.0,1.0,0.4666666666666667,0.23346845692470058,0.3504742294575342,0.0,0.19080160701241783,0.2601883040127087,mixed,0.19591009770983597,0.1907039336115436,0.32459698395102005,0.23811113455542188,8.275868534480233,1.7441967269268173
0.1,0.15,2,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300000000000001,0.632455532033676,1.0,0.7333333333333333,0.03333333333333333,0.23333333333333334,0.0,0.2627206990897333,0.33992696989336524,0.004235401489524295,0.012609496751904727,0.09931632878015419,0.30209778294856476,1.0,0.13333333333333333,0.03637226173408511,0.1789646479978807,0.0009182736455463729,0.001516020558618677,0.0026274104683195595,0.003920441286327967,0.005720398302427567,0.03333333333333333,0.2817754103973626,0.3404106467374433,0.005721845072700526,0.012534153183319708,0.14979412304866851,0.45292690641219663,1.0,0.13333333333333333,0.22634843735564816,0.31313854150262443,0.007867458738443104,0.2897517906336088,0.24540314866327753,hopeless,0.16730062633846543,0.16552979300513213,0.2336331188093826,0.18247889446500815,6.324555320336759,0.0
0.15,0.05,2,33.56666666666667,18.93441898295858,0.0,33.0,43.0,47.0,49.1,0.2279744550881577,0.41347937083500225,0.0,0.0,0.0,0.0,1.0,3.3566666666666674,1.8934418982958579,0.7666666666666667,0.0,0.7666666666666667,0.23333333333333334,0.0,0.9640009794280737,0.11406471121474403,0.9756143667296787,1.0,1.0,1.0,1.0,0.9,0.7671700472544746,0.42204069589805937,0.001829276937618148,1.0,1.0,1.0,1.0,0.7666666666666667,0.9812512547938045,0.06333071718073652,0.9881299458558934,1.0,1.0,1.0,1.0,0.9,0.19683093217359934,0.4129455716036536,0.0,0.0,0.2140812075393299,trivial,0.21411539697993,0.2180378922540321,0.05893187982811743,0.05091030312496603,14.231459673710368,7.802116949632951
0.15,0.1,2,39.13333333333333,13.992220060527288,29.900000000000013,34.0,46.0,48.5,49.1,0.0953448510829905,0.286235867077526,0.0,0.0,0.0,0.0,0.0920033319450242,3.9133333333333344,1.3992220060527287,0.9,0.2,0.3333333333333333,0.4666666666666667,0.0,0.7518433612105475,0.36162349817927897,0.15200012675418742,0.5096216628828105,1.0,1.0,1.0,0.6,0.36852238606001947,0.46142162090718497,0.0011745179584120985,0.0017182293835901706,0.005354064792971821,1.0,1.0,0.3333333333333333,0.7887936152439746,0.3182639731356972,0.18647456144779778,0.612476370510397,1.0,1.0,1.0,0.6,0.3833209751505279,0.40228714845317814,0.0,0.8116627326830583,0.42027122918395504,mixed,0.3593511900892293,0.36389376462388223,0.22484201926007702,0.21395496611995632,9.67034412808332,5.468292441175967
0.15,0.15,2,43.0,6.324555320336759,33.0,37.0,46.0,49.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300000000000001,0.632455532033676,1.0,0.5333333333333333,0.06666666666666667,0.4,0.0,0.447207850610946,0.4269947272254004,0.015464534642278586,0.04725897920604915,0.22724498125780923,1.0,1.0,0.3,0.07019036739029928,0.24852839302838775,0.0009169849862882499,0.001479820159999496,0.0026274104683195595,0.006922279154322118,0.0139306606137073,0.06666666666666667,0.4725049331675523,0.42543113037376945,0.019807346938775512,0.08935844839293797,0.23940604914933838,1.0,1.0,0.3333333333333333,0.3770174832206469,0.412002940868537,0.021367305600649006,0.8926740469841937,0.4023145657772531,hopeless,0.3369920425296188,0.3354154011530879,0.3482720592890626,0.18425879984132296,6.324555320336759,0.0
0.05,0.05,3,38.333333333333336,15.990274822181414,0.0,34.0,46.0,49.0,49.1,0.13333333333333333,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,2.3772222222222217,0.986599878870687,0.8666666666666667,0.0,0.8666666666666667,0.13333333333333333,0.0,0.9808443604284813,0.10315627607869499,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.8675592060838667,0.3376604453423844,0.010444234404536862,1.0,1.0,1.0,1.0,0.8666666666666667,0.9808443604284813,0.10315627607869499,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.11328515434461472,0.30304276541943304,0.0,0.0,0.11328515434461472,trivial,0.11328515434461472,0.11328515434461472,0.05746691871455576,0.027090165277972332,14.179797835888447,3.299831645537222
0.05,0.1,3,41.766666666666666,9.94546239358544,33.0,37.0,46.0,49.0,49.1,0.03333333333333333,0.17950549357115012,0.0,0.0,0.0,0.0,0.0,2.679444444444444,0.611520317540989,0.9666666666666667,0.1,0.5666666666666667,0.3333333333333333,0.0,0.9015838773829837,0.2659425146208112,0.609499054820416,1.0,1.0,1.0,1.0,0.8666666666666667,0.6178312089677687,0.4564322242372468,0.003636597978409287,0.014944397380108634,1.0,1.0,1.0,0.5666666666666667,0.9312724975596602,0.23508640866237868,0.9527882797731569,1.0,1.0,1.0,1.0,0.8333333333333334,0.2837526684152152,0.3982819152792182,0.0,0.5454032009160554,0.3134412885918917,trivial,0.2710278374741958,0.27852626217488896,0.15496407667850462,0.11721897776859527,8.275868534480233,1.7441967269268173
